H1size,H1error,rho_Tsize,rho_T,rho_Ssize,rho_S,rho_Esize,rho_E,rho_Asize,rho_A,stdEst,newEst,relation
20,1.04908,20,10.0804,8,14.504,36,0.971902,8,1.14371,10.1271,17.7266,16.8973
44,3.22442,44,27.7715,16,10.5681,76,2.74402,16,2.24394,27.9067,29.925,9.28073
92,4.34721,92,24.6326,32,4.10527,156,3.69195,32,2.05746,24.9077,25.3275,5.82614
188,3.44559,188,14.4347,64,1.42597,316,3.87959,64,1.669,14.947,15.1073,4.38453
380,2.07827,380,7.88716,128,0.491622,636,3.27831,128,1.15621,8.54135,8.63326,4.15407
860,1.35942,860,5.11699,256,0.170933,1456,2.68565,256,0.696449,5.77895,5.82328,4.28363
1916,0.955727,1916,3.50521,392,0.124901,3428,1.82202,392,0.559478,3.95048,3.99185,4.17677
3524,0.665079,3524,2.40637,512,0.0598688,6520,1.31612,512,0.384659,2.74277,2.77026,4.1653
7916,0.452713,7916,1.63895,992,0.0252963,14784,0.933635,992,0.219386,1.88622,1.89911,4.19494
14948,0.31859,14948,1.14383,1024,0.0210621,28832,0.650094,1024,0.202361,1.31567,1.3313,4.17875
32372,0.221342,32372,0.798525,2048,0.00742765,62608,0.464951,2048,0.103822,0.924025,0.929869,4.20106
60500,0.158387,60500,0.566741,2048,0.00742765,118820,0.330147,2048,0.103823,0.655891,0.664099,4.19288
