H1size,H1error,rho_Tsize,rho_T,rho_Ssize,rho_S,rho_Esize,rho_E,rho_Asize,rho_A,stdEst,newEst,relation
20,0.00433179,20,0.042947,8,13.5476,36,0.0037546,8,0.00372922,0.0431108,13.5477,3127.49
44,0.915416,44,8.75067,16,95.4923,76,0.748049,16,0.555673,8.78258,95.8969,104.758
92,4.82583,92,45.589,32,53.4126,156,4.1335,32,2.20772,45.776,70.3792,14.5838
188,7.69895,188,60.4006,64,18.3218,316,6.47618,64,2.3449,60.7468,63.493,8.24696
380,8.19606,380,41.8887,128,5.97339,636,7.41895,128,1.94724,42.5406,43.0021,5.24667
764,5.7434,764,22.6521,256,1.99449,1276,7.08114,256,1.51811,23.7331,23.8651,4.15522
1532,3.40115,1532,12.5238,512,0.682403,2556,5.82104,512,1.01408,13.8105,13.8645,4.07642
4076,2.2258,4076,8.0124,1024,0.237091,7108,4.41643,1024,0.596819,9.14896,9.17147,4.12053
7316,1.642,7316,5.82858,1368,0.199115,13252,3.16029,1368,0.52528,6.63021,6.65397,4.05235
14420,1.12039,14420,3.93359,2048,0.0830742,26776,2.26243,2048,0.325158,4.53781,4.5502,4.06125
27404,0.823391,27404,2.88131,3448,0.0526116,51320,1.69614,3448,0.232206,3.34348,3.35195,4.0709
55628,0.565147,55628,1.96838,4096,0.0292375,107088,1.17215,4096,0.169862,2.29095,2.29742,4.06518
