H1size,H1error,rho_Tsize,rho_T,rho_Ssize,rho_S,rho_Esize,rho_E,rho_Asize,rho_A,stdEst,newEst,relation
20,0.00433179,20,0.042947,8,13.5476,36,0.0037546,8,0.00372922,0.0431108,13.5477,3127.49
32,0.606526,32,6.18711,12,68.1994,55,0.523827,12,0.356783,6.20924,68.4824,112.909
50,2.9832,50,29.194,18,47.9735,84,2.58743,18,1.31106,29.3084,56.2331,18.8499
80,4.44022,80,35.2662,28,57.2717,132,3.49056,28,1.50976,35.4385,67.3663,15.1719
125,6.00818,125,47.9581,43,56.916,208,4.81633,43,1.95064,48.1993,74.6084,12.4178
185,7.14627,185,54.688,63,30.5316,308,5.99468,63,2.23147,55.0156,62.9593,8.81009
275,7.97992,275,51.9393,93,14.1332,454,6.77456,93,2.10763,52.3792,54.2934,6.80375
407,8.13274,407,40.7981,137,5.7838,675,7.37483,137,1.91321,41.4593,41.9045,5.15256
605,7.08942,605,31.7318,203,4.13584,998,7.28832,203,1.73329,32.5581,32.8655,4.63585
896,5.39666,896,21.118,300,1.83693,1488,6.90052,300,1.45454,22.2168,22.34,4.1396
1328,4.01239,1328,15.433,444,1.18264,2208,6.21454,444,1.20553,16.6372,16.7227,4.16777
2087,3.16896,2087,11.5514,617,0.617821,3517,5.50435,617,0.94932,12.7958,12.8458,4.05365
3089,2.45483,3089,9.15955,951,0.338515,5207,4.9811,951,0.68638,10.4263,10.4544,4.2587
5054,2.04765,5054,7.17244,1024,0.237091,9046,3.87552,1024,0.597076,8.15252,8.17779,3.99375
7481,1.61994,7481,5.76226,1447,0.189322,13495,3.14729,1447,0.506932,6.56575,6.58801,4.06682
11072,1.33337,11072,4.67672,2027,0.0889527,20049,2.70406,2027,0.334108,5.40219,5.41324,4.05982
16388,1.04902,16388,3.68593,2048,0.0830742,30661,2.11437,2048,0.325159,4.24931,4.26254,4.06337
24257,0.872246,24257,3.04878,2567,0.0732737,45919,1.75789,2567,0.294455,3.51927,3.53233,4.04969
35927,0.719991,35927,2.52126,3952,0.0357767,67846,1.4975,3952,0.185994,2.93245,2.93856,4.08139
53246,0.579123,53246,2.01916,4096,0.0292375,102298,1.20158,4096,0.169861,2.34964,2.35595,4.06814
78998,0.473516,78998,1.6448,4096,0.0292375,153824,0.977139,4096,0.169865,1.91316,1.9209,4.05669
