H1size,H1error,rho_Tsize,rho_T,rho_Ssize,rho_S,rho_Esize,rho_E,rho_Asize,rho_A,stdEst,newEst,relation
20,0.00433179,20,0.042947,8,13.5476,36,0.0037546,8,0.00372922,0.0431108,13.5477,9.95217
32,0.606526,32,6.18711,12,68.1994,55,0.523827,12,0.356783,6.20924,68.4824,10.2374
50,2.9832,50,29.194,18,47.9735,84,2.58743,18,1.31106,29.3084,56.2331,9.8245
86,4.70356,86,36.8218,30,55.8814,142,3.71843,30,1.53777,37.0091,67.043,7.86831
134,5.04046,134,31.6722,46,53.8495,220,4.19813,46,1.4167,31.9492,62.6301,6.33855
206,5.79941,206,35.9617,70,40.1741,337,4.99609,70,1.58819,36.3071,54.1728,6.26048
317,6.28197,317,37.2888,107,51.8596,524,5.71511,107,1.69849,37.7242,64.1515,6.00516
470,6.1777,470,36.0019,158,39.3048,782,6.21165,158,1.71453,36.5338,53.6892,5.91383
704,6.0197,704,33.6714,236,20.1212,1165,6.52227,236,1.70029,34.2973,39.8002,5.6975
1043,5.30543,1043,28.8857,349,6.89783,1736,6.42751,349,1.4885,29.5922,30.4219,5.57771
1700,4.56252,1700,19.8289,464,2.29806,2913,5.98233,464,1.20531,20.7117,20.8736,4.53953
2516,3.37253,2516,12.6339,714,0.847099,4289,5.43465,714,0.937086,13.7532,13.8111,4.078
4067,2.3741,4067,8.45551,960,0.327712,7159,4.41495,960,0.659423,9.53873,9.56711,4.01783
6116,1.78187,6116,6.29494,1024,0.237091,11212,3.31533,1024,0.597084,7.11461,7.14356,3.99278
9053,1.4618,9053,5.1897,1888,0.120856,16207,2.95864,1888,0.385576,5.97382,5.98747,4.08662
13400,1.16287,13400,4.1295,2048,0.0830742,24728,2.37345,2048,0.325154,4.76299,4.77479,4.0959
19832,0.959053,19832,3.32907,2048,0.0830742,37572,1.90491,2048,0.325165,3.83555,3.8502,3.9993
29354,0.796175,29354,2.79744,3536,0.0500816,55116,1.6468,3536,0.224944,3.24617,3.25434,4.0772
43469,0.646617,43469,2.26796,4064,0.0308108,82818,1.34779,4064,0.173619,2.63822,2.6441,4.08003
64481,0.52212,64481,1.81405,4096,0.0292375,124742,1.0797,4096,0.169863,2.11105,2.11807,4.04323
95600,0.437508,95600,1.52372,5420,0.0247567,185704,0.91105,5420,0.148468,1.77531,1.78168,4.05778
